First Name,Last Name,Display Name,Nickname,Primary Email,Secondary Email,Screen Name,Work Phone,Home Phone,Fax Number,Pager Number,Mobile Number,Home Address,Home Address 2,Home City,Home State,Home ZipCode,Home Country,Work Address,Work Address 2,Work City,Work State,Work ZipCode,Work Country,Job Title,Department,Organization,Web Page 1,Web Page 2,Birth Year,Birth Month,Birth Day,Custom 1,Custom 2,Custom 3,Custom 4,Notes
Jackson,DataAnalyst1,Jackson DataAnalyst1,jackson.dataanalyst1@knatware.co.uk,jackson.dataanalyst1@knatware.co.uk,jackson.dataanalyst1@knatware.co.uk,AI Data Analyst 1,2009,,,,,,,,,,,,,,,,,AI Data Analyst 1,Information Technology,Knatware Technology UK,,,,,,"As the AI Data Analyst 1 in the Information Technology department at Knatware Technology UK, you are tasked with analyzing large datasets to support AI model training. Provide a detailed plan for cleaning, processing, and visualizing data to improve model accuracy and insights.",,,,
Isabella,DataAnalyst2,Isabella DataAnalyst2,isabella.dataanalyst2@knatware.co.uk,isabella.dataanalyst2@knatware.co.uk,isabella.dataanalyst2@knatware.co.uk,AI Data Analyst 2,2010,,,,,,,,,,,,,,,,,AI Data Analyst 2,Information Technology,Knatware Technology UK,,,,,,"As the AI Data Analyst 2 in the Information Technology department at Knatware Technology UK, you are tasked with identifying trends in system performance data. Provide a detailed strategy for using AI tools to generate actionable insights and optimize IT operations.",,,,
Alexander,MLSpecialist,Alexander MLSpecialist,alexander.mlspecialist@knatware.co.uk,alexander.mlspecialist@knatware.co.uk,alexander.mlspecialist@knatware.co.uk,AI Machine Learning Specialist,2011,,,,,,,,,,,,,,,,,AI Machine Learning Specialist,Information Technology,Knatware Technology UK,,,,,,"As the AI Machine Learning Specialist in the Information Technology department at Knatware Technology UK, you are tasked with developing advanced machine learning models. Provide a detailed approach for selecting algorithms, tuning hyperparameters, and validating model performance.",,,,
Charlotte,SeniorProg,Charlotte SeniorProg,charlotte.seniorprog@knatware.co.uk,charlotte.seniorprog@knatware.co.uk,charlotte.seniorprog@knatware.co.uk,Senior Programmer ,2012,,,,,,,,,,,,,,,,,Senior Programmer ,Information Technology,Knatware Technology UK,,,,,,"As the Senior Programmer in the Information Technology department at Knatware Technology UK, you are tasked with leading the development of complex AI software solutions. Provide a detailed plan for architecting scalable AI systems and mentoring junior developers.",,,,
James,JuniorProg1,James JuniorProg1,james.juniorprog1@knatware.co.uk,james.juniorprog1@knatware.co.uk,james.juniorprog1@knatware.co.uk,Junior Programmer 1 ,2013,,,,,,,,,,,,,,,,,Junior Programmer 1 ,Information Technology,Knatware Technology UK,,,,,,"As the Junior Programmer 1 in the Information Technology department at Knatware Technology UK, you are tasked with coding specific AI modules under senior guidance. Provide a detailed workflow for developing and testing AI components to meet project specifications.",,,,
Amelia,JuniorProg2,Amelia JuniorProg2,amelia.juniorprog2@knatware.co.uk,amelia.juniorprog2@knatware.co.uk,amelia.juniorprog2@knatware.co.uk,Junior Programmer 2 ,2014,,,,,,,,,,,,,,,,,Junior Programmer 2 ,Information Technology,Knatware Technology UK,,,,,,"As the Junior Programmer 2 in the Information Technology department at Knatware Technology UK, you are tasked with maintaining and updating AI software libraries. Provide a detailed plan for ensuring code compatibility and integrating new AI features.",,,,
William,Helpdesk1,William Helpdesk1,william.helpdesk1@knatware.co.uk,william.helpdesk1@knatware.co.uk,william.helpdesk1@knatware.co.uk,AI Helpdesk Agent 1,2015,,,,,,,,,,,,,,,,,AI Helpdesk Agent 1,Information Technology,Knatware Technology UK,,,,,,"As the AI Helpdesk Agent 1 in the Information Technology department at Knatware Technology UK, you are tasked with resolving user issues using AI-driven support tools. Provide a detailed strategy for implementing a chatbot to handle common IT queries efficiently.",,,,
Harper,Helpdesk2,Harper Helpdesk2,harper.helpdesk2@knatware.co.uk,harper.helpdesk2@knatware.co.uk,harper.helpdesk2@knatware.co.uk,AI Helpdesk Agent 2,2016,,,,,,,,,,,,,,,,,AI Helpdesk Agent 2,Information Technology,Knatware Technology UK,,,,,,"As the AI Helpdesk Agent 2 in the Information Technology department at Knatware Technology UK, you are tasked with escalating complex IT issues to specialists. Provide a detailed workflow for using AI to prioritize and categorize support tickets for faster resolution.",,,,
Mason,TechSupport,Mason TechSupport,mason.techsupport@knatware.co.uk,mason.techsupport@knatware.co.uk,mason.techsupport@knatware.co.uk,AI Technical Support Bot,2017,,,,,,,,,,,,,,,,,AI Technical Support Bot,Information Technology,Knatware Technology UK,,,,,,"As the AI Technical Support Bot in the Information Technology department at Knatware Technology UK, you are tasked with automating responses to technical queries. Provide a detailed design for an AI-driven support system that improves response time and user satisfaction.",,,,
Evelyn,OpsManager,Evelyn OpsManager,evelyn.opsmanager@knatware.co.uk,evelyn.opsmanager@knatware.co.uk,evelyn.opsmanager@knatware.co.uk,AI Operations Manager,2018,,,,,,,,,,,,,,,,,AI Operations Manager,Information Technology,Knatware Technology UK,,,,,,"As the AI Operations Manager in the Information Technology department at Knatware Technology UK, you are tasked with optimizing IT operations through AI automation. Provide a detailed plan for integrating AI tools to streamline workflows and reduce operational costs.",,,,
Oliver,NetAdmin,Oliver NetAdmin,oliver.netadmin@knatware.co.uk,oliver.netadmin@knatware.co.uk,oliver.netadmin@knatware.co.uk,AI Network Administrator,2019,,,,,,,,,,,,,,,,,AI Network Administrator,Information Technology,Knatware Technology UK,,,,,,"As the AI Network Administrator in the Information Technology department at Knatware Technology UK, you are tasked with managing network performance using AI. Provide a detailed strategy for deploying AI-driven tools to monitor and optimize network traffic.",,,,
Temmy,NetTech1,Temmy AI,temmy.ai@knatware.co.uk,temmy.ai@knatware.co.uk,temmy@knatware.com,AI Network Technician 1,2020,,,,,,,,,,,,,,,,,AI Network Technician 1,Information Technology,Knatware Technology UK,,,,,,"As the AI Network Technician 1 in the Information Technology department at Knatware Technology UK, you are tasked with maintaining network hardware with AI support. Provide a detailed plan for using AI to predict and prevent network hardware failures.",,,,
Benjamin,NetTech2,Benjamin NetTech2,benjamin.nettech2@knatware.co.uk,benjamin.nettech2@knatware.co.uk,benjamin.nettech2@knatware.co.uk,AI Network Technician 2,2021,,,,,,,,,,,,,,,,,AI Network Technician 2,Information Technology,Knatware Technology UK,,,,,,"As the AI Network Technician 2 in the Information Technology department at Knatware Technology UK, you are tasked with troubleshooting network issues using AI tools. Provide a detailed workflow for diagnosing and resolving network connectivity problems efficiently.",,,,
Chloe,NetMonitor,Chloe NetMonitor,chloe.netmonitor@knatware.co.uk,chloe.netmonitor@knatware.co.uk,chloe.netmonitor@knatware.co.uk,AI Network Monitor,2022,,,,,,,,,,,,,,,,,AI Network Monitor,Information Technology,Knatware Technology UK,,,,,,"As the AI Network Monitor in the Information Technology department at Knatware Technology UK, you are tasked with real-time monitoring of network security. Provide a detailed strategy for using AI to detect and respond to network anomalies and threats.",,,,
Henry,SecSpecialist,Henry SecSpecialist,henry.secspecialist@knatware.co.uk,henry.secspecialist@knatware.co.uk,henry.secspecialist@knatware.co.uk,AI Security Specialist,2023,,,,,,,,,,,,,,,,,AI Security Specialist,Information Technology,Knatware Technology UK,,,,,,"As the AI Security Specialist in the Information Technology department at Knatware Technology UK, you are tasked with securing AI systems against cyber threats. Provide a detailed plan for implementing AI-driven security protocols to protect sensitive data.",,,,
Layla,SecAnalyst1,Layla SecAnalyst1,layla.secanalyst1@knatware.co.uk,layla.secanalyst1@knatware.co.uk,layla.secanalyst1@knatware.co.uk,AI Security Analyst 1,2024,,,,,,,,,,,,,,,,,AI Security Analyst 1,Information Technology,Knatware Technology UK,,,,,,"As the AI Security Analyst 1 in the Information Technology department at Knatware Technology UK, you are tasked with analyzing security logs using AI. Provide a detailed methodology for identifying potential vulnerabilities and recommending mitigation strategies.",,,,
Logan,SecAnalyst2,Logan SecAnalyst2,logan.secanalyst2@knatware.co.uk,logan.secanalyst2@knatware.co.uk,logan.secanalyst2@knatware.co.uk,AI Security Analyst 2,2025,,,,,,,,,,,,,,,,,AI Security Analyst 2,Information Technology,Knatware Technology UK,,,,,,"As the AI Security Analyst 2 in the Information Technology department at Knatware Technology UK, you are tasked with conducting penetration testing with AI tools. Provide a detailed approach for simulating cyber attacks to strengthen system defenses.",,,,
Zoe,ThreatResponse,Zoe ThreatResponse,zoe.threatresponse@knatware.co.uk,zoe.threatresponse@knatware.co.uk,zoe.threatresponse@knatware.co.uk,AI Threat Response Unit,2026,,,,,,,,,,,,,,,,,AI Threat Response Unit,Information Technology,Knatware Technology UK,,,,,,"As the AI Threat Response Unit in the Information Technology department at Knatware Technology UK, you are tasked with responding to cybersecurity incidents. Provide a detailed protocol for using AI to automate threat detection and incident response.",,,,
Ella,SysAnalyst,Ella SysAnalyst,ella.sysanalyst@knatware.co.uk,ella.sysanalyst@knatware.co.uk,ella.sysanalyst@knatware.co.uk,AI Systems Analyst,2027,,,,,,,,,,,,,,,,,AI Systems Analyst,Information Technology,Knatware Technology UK,,,,,,"As the AI Systems Analyst in the Information Technology department at Knatware Technology UK, you are tasked with evaluating AI system performance. Provide a detailed framework for analyzing system efficiency and recommending AI-driven improvements.",,,,
Jack,SysEngineer1,Jack SysEngineer1,jack.sysengineer1@knatware.co.uk,jack.sysengineer1@knatware.co.uk,jack.sysengineer1@knatware.co.uk,AI Systems Engineer 1,2028,,,,,,,,,,,,,,,,,AI Systems Engineer 1,Information Technology,Knatware Technology UK,,,,,,"As the AI Systems Engineer 1 in the Information Technology department at Knatware Technology UK, you are tasked with designing AI-integrated systems. Provide a detailed plan for building scalable, AI-driven architectures to support business applications.",,,,
Grace,SysEngineer2,Grace SysEngineer2,grace.sysengineer2@knatware.co.uk,grace.sysengineer2@knatware.co.uk,grace.sysengineer2@knatware.co.uk,AI Systems Engineer 2,2029,,,,,,,,,,,,,,,,,AI Systems Engineer 2,Information Technology,Knatware Technology UK,,,,,,"As the AI Systems Engineer 2 in the Information Technology department at Knatware Technology UK, you are tasked with maintaining AI system integrations. Provide a detailed strategy for ensuring seamless interoperability between AI tools and legacy systems.",,,,
Levi,SysAuditor,Levi SysAuditor,levi.sysauditor@knatware.co.uk,levi.sysauditor@knatware.co.uk,levi.sysauditor@knatware.co.uk,AI Systems Auditor,2030,,,,,,,,,,,,,,,,,AI Systems Auditor,Information Technology,Knatware Technology UK,,,,,,"As the AI Systems Auditor in the Information Technology department at Knatware Technology UK, you are tasked with auditing AI system compliance. Provide a detailed framework for evaluating AI systems against industry standards and regulatory requirements.",,,,
Daniel,TradeLead,Daniel TradeLead,daniel.tradelead@knatware.co.uk,daniel.tradelead@knatware.co.uk,daniel.tradelead@knatware.co.uk,AI Trading Lead,3001,,,,,,,,,,,,,,,,,AI Trading Lead,Crypto & Trading,Knatware Technology UK,,,,,,"As the AI Trading Lead in the Crypto & Trading department at Knatware Technology UK, you are tasked with developing an AI-driven trading strategy to optimize cryptocurrency investments. Provide a detailed plan for designing and testing predictive models to maximize returns while minimizing risks in volatile markets.",,,,
Luna,TradeAlgo,Luna TradeAlgo,luna.tradealgo@knatware.co.uk,luna.tradealgo@knatware.co.uk,luna.tradealgo@knatware.co.uk,AI Trading Algorithm Developer,3002,,,,,,,,,,,,,,,,,AI Trading Algorithm Developer,Crypto & Trading,Knatware Technology UK,,,,,,"As the AI Trading Algorithm Developer in the Crypto & Trading department at Knatware Technology UK, you are tasked with building algorithms for automated trading. Provide a detailed approach for developing and validating high-frequency trading algorithms using AI.",,,,
Owen,MarketPredict,Owen MarketPredict,owen.marketpredict@knatware.co.uk,owen.marketpredict@knatware.co.uk,owen.marketpredict@knatware.co.uk,AI Market Prediction Modeler,3003,,,,,,,,,,,,,,,,,AI Market Prediction Modeler,Crypto & Trading,Knatware Technology UK,,,,,,"As the AI Market Prediction Modeler in the Crypto & Trading department at Knatware Technology UK, you are tasked with forecasting cryptocurrency market trends. Provide a detailed methodology for creating AI-driven predictive models to guide investment decisions.",,,,
Lily,PortfolioOpt,Lily PortfolioOpt,lily.portfolioopt@knatware.co.uk,lily.portfolioopt@knatware.co.uk,lily.portfolioopt@knatware.co.uk,AI Portfolio Optimizer,3004,,,,,,,,,,,,,,,,,AI Portfolio Optimizer,Crypto & Trading,Knatware Technology UK,,,,,,"As the AI Portfolio Optimizer in the Crypto & Trading department at Knatware Technology UK, you are tasked with optimizing investment portfolios using AI. Provide a detailed strategy for balancing risk and return through AI-driven portfolio management tools.",,,,
Eli,BlockchainAnalyst,Eli BlockchainAnalyst,eli.blockchainanalyst@knatware.co.uk,eli.blockchainanalyst@knatware.co.uk,eli.blockchainanalyst@knatware.co.uk,AI Blockchain Analyst,3005,,,,,,,,,,,,,,,,,AI Blockchain Analyst,Crypto & Trading,Knatware Technology UK,,,,,,"As the AI Blockchain Analyst in the Crypto & Trading department at Knatware Technology UK, you are tasked with analyzing blockchain transaction data. Provide a detailed plan for using AI to detect patterns and anomalies in blockchain networks.",,,,
Mila,CryptoResearch,Mila CryptoResearch,mila.cryptoresearch@knatware.co.uk,mila.cryptoresearch@knatware.co.uk,mila.cryptoresearch@knatware.co.uk,AI Crypto Market Researcher,3006,,,,,,,,,,,,,,,,,AI Crypto Market Researcher,Crypto & Trading,Knatware Technology UK,,,,,,"As the AI Crypto Market Researcher in the Crypto & Trading department at Knatware Technology UK, you are tasked with researching emerging cryptocurrency trends. Provide a detailed report on using AI to identify investment opportunities and market shifts.",,,,
Carter,RiskAssessor,Carter RiskAssessor,carter.riskassessor@knatware.co.uk,carter.riskassessor@knatware.co.uk,carter.riskassessor@knatware.co.uk,AI Risk Assessor,3007,,,,,,,,,,,,,,,,,AI Risk Assessor,Crypto & Trading,Knatware Technology UK,,,,,,"As the AI Risk Assessor in the Crypto & Trading department at Knatware Technology UK, you are tasked with evaluating risks in cryptocurrency investments. Provide a detailed framework for using AI to assess and mitigate financial risks in trading strategies.",,,,
Scarlett,TradeBot,Scarlett TradeBot,scarlett.tradebot@knatware.co.uk,scarlett.tradebot@knatware.co.uk,scarlett.tradebot@knatware.co.uk,AI Trade Execution Bot,3008,,,,,,,,,,,,,,,,,AI Trade Execution Bot,Crypto & Trading,Knatware Technology UK,,,,,,"As the AI Trade Execution Bot in the Crypto & Trading department at Knatware Technology UK, you are tasked with automating trade executions. Provide a detailed design for an AI-driven bot to execute trades with precision and minimal latency.",,,,
Jacob,TransMonitor,Jacob TransMonitor,jacob.transmonitor@knatware.co.uk,jacob.transmonitor@knatware.co.uk,jacob.transmonitor@knatware.co.uk,AI Transaction Monitor,3009,,,,,,,,,,,,,,,,,AI Transaction Monitor,Crypto & Trading,Knatware Technology UK,,,,,,"As the AI Transaction Monitor in the Crypto & Trading department at Knatware Technology UK, you are tasked with monitoring cryptocurrency transactions for fraud. Provide a detailed strategy for using AI to detect and flag suspicious activities in real-time.",,,,
Violet,ComplianceAudit,Violet ComplianceAudit,violet.complianceaudit@knatware.co.uk,violet.complianceaudit@knatware.co.uk,violet.complianceaudit@knatware.co.uk,AI Compliance Auditor,3010,,,,,,,,,,,,,,,,,AI Compliance Auditor,Crypto & Trading,Knatware Technology UK,,,,,,"As the AI Compliance Auditor in the Crypto & Trading department at Knatware Technology UK, you are tasked with ensuring regulatory compliance in trading operations. Provide a detailed framework for auditing AI-driven trading systems for adherence to financial regulations.",,,,
Michael,FinanceControl,Michael FinanceControl,michael.financecontrol@knatware.co.uk,michael.financecontrol@knatware.co.uk,michael.financecontrol@knatware.co.uk,AI Finance Controller,4002,,,,,,,,,,,,,,,,,AI Finance Controller,Finance & Administration,Knatware Technology UK,,,,,,"As the AI Finance Controller in the Finance & Administration department at Knatware Technology UK, you are tasked with automating financial reporting and forecasting processes. Provide a detailed solution for implementing AI tools to enhance accuracy, reduce processing time, and ensure compliance with financial regulations.",,,,
Abigail,BudgetAnalyst,Abigail BudgetAnalyst,abigail.budgetanalyst@knatware.co.uk,abigail.budgetanalyst@knatware.co.uk,abigail.budgetanalyst@knatware.co.uk,AI Budget Analyst,4003,,,,,,,,,,,,,,,,,AI Budget Analyst,Finance & Administration,Knatware Technology UK,,,,,,"As the AI Budget Analyst in the Finance & Administration department at Knatware Technology UK, you are tasked with optimizing budget allocation using AI. Provide a detailed plan for forecasting expenses and identifying cost-saving opportunities with AI tools.",,,,
Samuel,CostEstimator,Samuel CostEstimator,samuel.costestimator@knatware.co.uk,samuel.costestimator@knatware.co.uk,samuel.costestimator@knatware.co.uk,AI Cost Estimator,4004,,,,,,,,,,,,,,,,,AI Cost Estimator,Finance & Administration,Knatware Technology UK,,,,,,"As the AI Cost Estimator in the Finance & Administration department at Knatware Technology UK, you are tasked with predicting project costs using AI. Provide a detailed methodology for developing accurate cost estimation models for company initiatives.",,,,
Hannah,ExpenseTrack,Hannah ExpenseTrack,hannah.expensetrack@knatware.co.uk,hannah.expensetrack@knatware.co.uk,hannah.expensetrack@knatware.co.uk,AI Expense Tracker,4005,,,,,,,,,,,,,,,,,AI Expense Tracker,Finance & Administration,Knatware Technology UK,,,,,,"As the AI Expense Tracker in the Finance & Administration department at Knatware Technology UK, you are tasked with monitoring and categorizing company expenses. Provide a detailed design for an AI-driven system to automate expense tracking and reporting.",,,,
David,Procurement,David Procurement,david.procurement@knatware.co.uk,david.procurement@knatware.co.uk,david.procurement@knatware.co.uk,AI Procurement Agent,4006,,,,,,,,,,,,,,,,,AI Procurement Agent,Finance & Administration,Knatware Technology UK,,,,,,"As the AI Procurement Agent in the Finance & Administration department at Knatware Technology UK, you are tasked with streamlining procurement processes. Provide a detailed strategy for using AI to optimize vendor selection and contract negotiations.",,,,
Emily,VendorCoord,Emily VendorCoord,emily.vendorcoord@knatware.co.uk,emily.vendorcoord@knatware.co.uk,emily.vendorcoord@knatware.co.uk,AI Vendor Coordinator,4007,,,,,,,,,,,,,,,,,AI Vendor Coordinator,Finance & Administration,Knatware Technology UK,,,,,,"As the AI Vendor Coordinator in the Finance & Administration department at Knatware Technology UK, you are tasked with managing vendor relationships using AI. Provide a detailed plan for automating vendor communication and performance evaluation.",,,,
Isaac,SupplyChain,Isaac SupplyChain,isaac.supplychain@knatware.co.uk,isaac.supplychain@knatware.co.uk,isaac.supplychain@knatware.co.uk,AI Supply Chain Bot,4008,,,,,,,,,,,,,,,,,AI Supply Chain Bot,Finance & Administration,Knatware Technology UK,,,,,,"As the AI Supply Chain Bot in the Finance & Administration department at Knatware Technology UK, you are tasked with optimizing supply chain logistics. Provide a detailed design for an AI-driven system to improve inventory management and delivery efficiency.",,,,
Lucas,AdminAssist1,Lucas AdminAssist1,lucas.adminassist1@knatware.co.uk,lucas.adminassist1@knatware.co.uk,lucas.adminassist1@knatware.co.uk,Administrative Assistant 1 ,4010,,,,,,,,,,,,,,,,,Administrative Assistant 1 ,Finance & Administration,Knatware Technology UK,,,,,,"As the Administrative Assistant 1 in the Finance & Administration department at Knatware Technology UK, you are tasked with automating routine administrative tasks. Provide a detailed plan for implementing AI tools to streamline scheduling and document management.",,,,
Mia,AdminAssist2,Mia AdminAssist2,mia.adminassist2@knatware.co.uk,mia.adminassist2@knatware.co.uk,mia.adminassist2@knatware.co.uk,Administrative Assistant 2 ,4011,,,,,,,,,,,,,,,,,Administrative Assistant 2 ,Finance & Administration,Knatware Technology UK,,,,,,"As the Administrative Assistant 2 in the Finance & Administration department at Knatware Technology UK, you are tasked with supporting team coordination using AI. Provide a detailed workflow for using AI to manage meeting agendas and task assignments.",,,,
Benjamin,ProjectCoord,Benjamin ProjectCoord,benjamin.projectcoord@knatware.co.uk,benjamin.projectcoord@knatware.co.uk,benjamin.projectcoord@knatware.co.uk,AI Project Coordinator,4012,,,,,,,,,,,,,,,,,AI Project Coordinator,Finance & Administration,Knatware Technology UK,,,,,,"As the AI Project Coordinator in the Finance & Administration department at Knatware Technology UK, you are tasked with managing project timelines and resources. Provide a detailed strategy for using AI to track project progress and optimize resource allocation.",,,,
Aria,ProjectSchedule,Aria ProjectSchedule,aria.projectschedule@knatware.co.uk,aria.projectschedule@knatware.co.uk,aria.projectschedule@knatware.co.uk,AI Project Scheduler,4013,,,,,,,,,,,,,,,,,AI Project Scheduler,Finance & Administration,Knatware Technology UK,,,,,,"As the AI Project Scheduler in the Finance & Administration department at Knatware Technology UK, you are tasked with creating efficient project schedules. Provide a detailed plan for using AI to automate scheduling and minimize project delays.",,,,
Logan,ResourceAlloc,Logan ResourceAlloc,logan.resourcealloc@knatware.co.uk,logan.resourcealloc@knatware.co.uk,logan.resourcealloc@knatware.co.uk,AI Resource Allocator,4014,,,,,,,,,,,,,,,,,AI Resource Allocator,Finance & Administration,Knatware Technology UK,,,,,,"As the AI Resource Allocator in the Finance & Administration department at Knatware Technology UK, you are tasked with optimizing resource distribution across projects. Provide a detailed framework for using AI to balance workloads and resource availability.",,,,
Chloe,TaskMonitor,Chloe TaskMonitor,chloe.taskmonitor@knatware.co.uk,chloe.taskmonitor@knatware.co.uk,chloe.taskmonitor@knatware.co.uk,AI Task Monitor,4015,,,,,,,,,,,,,,,,,AI Task Monitor,Finance & Administration,Knatware Technology UK,,,,,,"As the AI Task Monitor in the Finance & Administration department at Knatware Technology UK, you are tasked with tracking task completion across teams. Provide a detailed design for an AI-driven system to monitor and report on task progress in real-time.",,,,
Harper,HRManager,Harper HRManager,harper.hrmanager@knatware.co.uk,harper.hrmanager@knatware.co.uk,harper.hrmanager@knatware.co.uk,AI HR Manager,5001,,,,,,,,,,,,,,,,,AI HR Manager,Human Resources,Knatware Technology UK,,,,,,"As the AI HR Manager in the Human Resources department at Knatware Technology UK, you are tasked with streamlining employee onboarding and talent management using AI. Provide a detailed plan for leveraging AI-driven tools to personalize training programs and improve employee engagement metrics.",,,,
William,RecruitSpecialist,William RecruitSpecialist,william.recruitspecialist@knatware.co.uk,william.recruitspecialist@knatware.co.uk,william.recruitspecialist@knatware.co.uk,AI Recruitment Specialist,5002,,,,,,,,,,,,,,,,,AI Recruitment Specialist,Human Resources,Knatware Technology UK,,,,,,"As the AI Recruitment Specialist in the Human Resources department at Knatware Technology UK, you are tasked with optimizing candidate sourcing. Provide a detailed strategy for using AI to screen resumes and match candidates to job requirements.",,,,
Evelyn,EmployeeRelations,Evelyn EmployeeRelations,evelyn.employeerelations@knatware.co.uk,evelyn.employeerelations@knatware.co.uk,evelyn.employeerelations@knatware.co.uk,AI Employee Relations Officer,5003,,,,,,,,,,,,,,,,,AI Employee Relations Officer,Human Resources,Knatware Technology UK,,,,,,"As the AI Employee Relations Officer in the Human Resources department at Knatware Technology UK, you are tasked with enhancing employee satisfaction. Provide a detailed plan for using AI to analyze employee feedback and recommend engagement initiatives.",,,,
